"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-10","Canada","2016A000011124","Persons","249","units","0","v1","1","39276140","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","533444","","","","0"
"2022-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","169146","","","","0"
"2022-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1035666","","","","0"
"2022-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","817766","","","","0"
"2022-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8730868","","","","0"
"2022-10","Ontario","2016A000235","Persons","249","units","0","v12","7","15283961","","","","0"
"2022-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1423596","","","","0"
"2022-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1187607","","","","0"
"2022-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4561350","","","","0"
"2022-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","5403528","","","","0"
"2022-10","Yukon","2016A000260","Persons","249","units","0","v4","12","44113","","","","0"
"2022-10","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44664","","","","0"
"2022-10","Nunavut","2016A000262","Persons","249","units","0","v7","15","40431","","","","0"


